"BehaviorSpace results (NetLogo 6.0.2)"
"Model_V13.nlogo"
"Weighting_Capabilities"
"05/26/2019 17:26:53:204 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-9","9"
"[run number]","everyone_is_owner","medium_socialnetwork_group","technology_heat","subsidies","large_size_community","stop_and_report","number_households","radius_socialnetwork","feasibility_constraint","initial_size_of_community","energylabels_higher","community_model","report_time","companies_utility_sector","weighting_capabilities","large_socialnetwork_group","renovations_cheaper","technologies_more_sustainable","range_inclusiveness","medium_size_community","Type_of_visualization","[step]","covariance_cap_sec_aff","covariance_cap_sec_sus","covariance_cap_sec_aut","covariance_cap_sec_com","covariance_cap_sec_inc","covariance_cap_aff_sus","covariance_cap_aff_aut","covariance_cap_aff_com","covariance_cap_aff_inc","covariance_cap_sus_aut","covariance_cap_sus_com","covariance_cap_sus_inc","covariance_cap_aut_com","covariance_cap_aut_inc","covariance_cap_com_inc"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.0495578833341256E-4","1.064182961394798E-4","5.7905299561079523E-5","8.976072148902257E-5","8.948545861297587E-5","1.0495578833341256E-4","6.231506644400786E-5","1.3017431647223025E-4","1.4894223983904549E-4","5.7905299561079523E-5","8.976072148902257E-5","8.948545861297587E-5","5.5336179384645274E-5","5.8155538539304786E-5","1.51194390643065E-4"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.781534698970889E-4","1.805223988909408E-4","1.1539353415845447E-4","1.5747538899649172E-4","1.550480709077158E-4","1.781534698970889E-4","1.2389239130777748E-4","2.4141944445834956E-4","2.797004472604685E-4","1.1539353415845447E-4","1.5747538899649172E-4","1.550480709077158E-4","1.1331377020610514E-4","1.1774578055376554E-4","2.953320421002052E-4"
"12","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.066907785824379E-4","1.0481676667884497E-4","6.537910371070925E-5","9.314728899432258E-5","9.068660570845126E-5","1.066907785824379E-4","7.115684367459845E-5","1.438151212185395E-4","1.6235504907185957E-4","6.537910371070925E-5","9.314728899432258E-5","9.068660570845126E-5","6.369416125733304E-5","6.456165638184371E-5","1.656081557887778E-4"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","7.649527521004675E-5","7.236911250243975E-5","4.056095793705147E-5","6.75812067190837E-5","7.033383547954982E-5","7.649527521004675E-5","5.0514908404192645E-5","1.2226120389416268E-4","1.4823044896765215E-4","4.056095793705147E-5","6.75812067190837E-5","7.033383547954982E-5","4.753428413023443E-5","5.345104574869179E-5","1.5885170337672546E-4"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","0.002173973366787488","0.0024230598554953304","-4.0496451889345626E-4","0.0010854699571424028","0.00129497837101098","0.002173973366787488","-3.47502235004914E-4","0.0010360449785100257","0.0012499993048917177","-4.0496451889345626E-4","0.0010854699571424028","0.00129497837101098","-1.296460341849243E-4","-1.708742960639197E-4","7.042725803141986E-4"
"11","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","7.662873599843596E-5","7.096777422438428E-5","4.467599891229378E-5","6.836528885085234E-5","6.886576680730073E-5","7.662873599843596E-5","5.2939446059876206E-5","1.2751066157068802E-4","1.5067723008806524E-4","4.467599891229378E-5","6.836528885085234E-5","6.886576680730073E-5","4.8729870359525866E-5","5.144913392289555E-5","1.5875160778543512E-4"
"10","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","6.0307593752032496E-5","5.4917446161083755E-5","3.1301559656137864E-5","5.4169231616193655E-5","5.7554964991567026E-5","6.0307593752032496E-5","4.1923370151828844E-5","1.07661149731327E-4","1.3319386680947008E-4","3.1301559656137864E-5","5.4169231616193655E-5","5.7554964991567026E-5","4.0440287140887516E-5","4.66945933366384E-5","1.452637268591511E-4"
"12","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","0.002797938698123356","0.0028535151069271143","-6.923395175727827E-4","0.001393806084810993","0.001855281794113376","0.002797938698123356","-6.984614751533735E-4","0.001430157467047688","0.001933513171745671","-6.923395175727827E-4","0.001393806084810993","0.001855281794113376","-3.146421499199186E-4","-4.5970234907680857E-4","0.0010227767517979654"
